,Category,Question
0,Comparison ,is covid worse then swine flu
1,Comparison ,did covid exist years before scientists discovered it
2,Comparison ,how are covid and sars cov similar
3,Comparison ,is covid more contagious than the flu
4,Comparison ,is covid worse than spanish flu
5,Comparison ,why worry about covid when the flu kills so many people
6,Comparison ,what covs were known to infect humans before december 2019
7,Comparison ,what is the difference between seasonal flu and covid
8,Comparison ,is the covid pandemic comparable to the black death pandemic
9,Comparison ,has covid been around longer
10,Comparison ,has covid always existed
11,Comparison ,why is covid nothing like the flu
12,Comparison ,why of all the history of the plagues is covid more complex and deadlier
13,Economic Effects ,why are stock markets dipping in response to covid
14,Economic Effects ,what business has been affected by covid the most
15,Economic Effects ,how will covid affect the financial market
16,Economic Effects ,how destructive has covid been for the world economy
17,Economic Effects ,is covid an economic pandemic
18,Economic Effects ,what industries will have a huge boost once covid lockdowns end
19,Economic Effects ,how has covid affected cryptocurrencies
20,Economic Effects ,which is the best business to start amidst covid
21,Economic Effects ,is it a good idea to buy bitcoin during the covid pandemic
22,Economic Effects ,how have the large tech companies been affected by covid
23,Economic Effects ,can you make money online during covid country lockdown
24,Economic Effects ,is china gaining from the covid pandemic economically
25,Economic Effects ,how badly has the world economy shuddered so far because of the covid outbreak
26,Economic Effects ,is the global economy headed for recession in 2020 because of covid
27,Economic Effects ,will china become superpower after covid
28,Having COVID ,why are some people asymptomatic while others can be highly symptomatic with the covid
29,Having COVID ,how long does it take to recover
30,Having COVID ,why covid kills
31,Having COVID ,what lasting health impact will covid have on those who recover from covid
32,Having COVID ,how long is the incubation time for covid
33,Having COVID ,do covid effects last forever
34,Having COVID ,had covid and recovered
35,Having COVID ,how covid affects the body
36,Having COVID ,what is the rate of recovery from the covid virus
37,Having COVID ,what covid does
38,Having COVID ,how covid kills
39,Individual Response ,what is your routine for the covid holidays
40,Individual Response ,is it safe to travel right after the covid pandemic
41,Individual Response ,why are people still going outside with their kids when its not safe (covid)
42,Individual Response ,are covid hoax hypotheses a form of denial based coping
43,Individual Response ,should people take covid more seriously
44,Individual Response ,what are some good books to read while youre cooped up in self quarantine during the covid pandemic
45,Individual Response ,how can people not believe the covid is real
46,Individual Response ,what do i do if i think im sick
47,Individual Response ,how do we cope with stress during covid
48,Individual Response ,what if my child or someone else in the home is sick with symptoms of covid
49,Individual Response ,how are you coping during the covid crisis
50,Individual Response ,wheres the first place youre going to travel to once covid dies down
51,Individual Response ,should i cancel my trip
52,Individual Response ,what are you doing to spend time while staying home due to covid
53,Nomenclature ,should covid be all caps
54,Nomenclature ,what is the genus of the sars covid
55,Nomenclature ,what is a novel covid
56,Nomenclature ,who covid pandemic
57,Nomenclature ,what covid stands for
58,Nomenclature ,what is the proper capitalization for covid
59,Nomenclature ,is covid a pandemic
60,Nomenclature ,why is the disease being called covid disease 2019
61,Nomenclature ,what is the acronym covid
62,Nomenclature ,what does it mean that covid is a global pandemic
63,Nomenclature ,what is covid
64,Origin ,did covid come from a bat
65,Origin ,where covid start
66,Origin ,how was covid created
67,Origin ,do you think covid was injected purposely
68,Origin ,where covid came from
69,Origin ,was covid man made
70,Origin ,was covid meant to happen
71,Origin ,did the covid develop in a laboratory
72,Origin ,did covid come from a lab
73,Origin ,is the conspiracy theory of china spreading covid legitimate
74,Origin ,did covid come from snakes
75,Origin ,was covid manufactured
76,Origin ,when was the novel covid first reported
77,Origin ,what is the true origin of the covid virus and is the wuhan bat snacking hypothesis credible
78,Origin ,where did covid come from
79,Origin ,why covid happened
80,Origin ,how covid starts
81,Origin ,did covid come from pangolin
82,Origin ,is covid bio engineered
83,Origin ,in what species did the covid virus likely originate
84,Other ,how has covid affected animals
85,Other ,did covid mutate
86,Other ,has covid mutated
87,Other ,what covid looks like
88,Other ,does covid mutate
89,Other ,do you personally know anybody who has been hospitalized due to the corona virus covid
90,Prevention ,does cdc recommend the use of facemask or face coverings to prevent covid
91,Prevention ,how do i stop covid
92,Prevention ,should i wear a facemask
93,Prevention ,when should we identify ourselves as being sick and stay at home
94,Prevention ,can i make my own hand sanitizer
95,Prevention ,until when should i wear a mask after recovering from an illness with respiratory symptoms
96,Prevention ,what steps should parents take to protect children during a community outbreak
97,Prevention ,how can i make sure to not get affected with the novel covid virus
98,Prevention ,what steps should parents take to protect children
99,Prevention ,should i use soap and water or a hand sanitizer to protect against covid
100,Prevention ,should i purchase personal protective equipment for me and my family
101,Prevention ,why is there no vaccine for the covid virus
102,Prevention ,should i make my own hand sanitizer if i cant find it in the stores
103,Prevention ,what company will produce the vaccine for covid
104,Prevention ,is there a vaccine
105,Prevention ,how do we protect ourselves
106,Prevention ,what is the current status of the covid vaccine
107,Prevention ,which covid mask works
108,Prevention ,will covid vaccines be effective since a recovered person can contract the virus again
109,Prevention ,do masks help prevent the spread of covid
110,Prevention ,what type of face mask is recommended to prevent catching covid
111,Prevention ,if traveling on a plane how do i stay safe
112,Prevention ,how do i keep safe from covid
113,Prevention ,how can i prevent covid
114,Reporting ,can we expect new movies after covid
115,Reporting ,where can published genomic sequences be found for the covid virus
116,Reporting ,where was covid first identified
117,Reporting ,do you think they will make a movie about covid
118,Reporting ,are covid deaths accurate
119,Reporting ,is covid a political tool
120,Reporting ,when was covid first identified
121,Reporting ,can covid reduce the population of humans on earth by half
122,Reporting ,which covid model is best
123,Reporting ,when was the first case of covid identified
124,Reporting ,where and when was covid first identified
125,Reporting ,are covid cases going down
126,Reporting ,how long did it take to identify the cause of covid
127,Reporting ,is there underreporting of covid cases in specific countries or worldwide
128,Reporting ,what platform was instrumental in rapid sharing of covid information
129,Reporting ,can someone contract covid and not die
130,Reporting ,does china give correct information to other countries on covid
131,Reporting ,where are we on the covid curve now
132,Reporting ,who covid mortality rate
133,Reporting ,why might we underestimate the spread of covid
134,Societal Effects ,could covid create world war like conditions
135,Societal Effects ,what needs to change once the covid pandemic is over
136,Societal Effects ,should china cdc (center for disease control) be responsible for the outbreak of covid
137,Societal Effects ,are americans going to blame trump for the covid situation
138,Societal Effects ,how do you think is the new normal going to look like in after covid days to come
139,Societal Effects ,have your views towards china changed after the burst of covid
140,Societal Effects ,will schools be dismissed if there is an outbreak in my community
141,Societal Effects ,did the covid pandemic make you realize anything about yourself that you didnt already know
142,Societal Effects ,how covid will change the world
143,Societal Effects ,why might someone blame or avoid individuals and groups (create stigma) because of covid
144,Societal Effects ,what if the us fails to contain covid
145,Societal Effects ,is covid the end of the conservative movement in america
146,Societal Effects ,what are the positive impacts of the covid crisis
147,Societal Effects ,will covid end the world
148,Societal Effects ,what will travel look like after the end of the covid pandemic
149,Societal Effects ,is the usa responsible for covid or china
150,Societal Effects ,will covid last until everyone dies and humans go extinct
151,Societal Effects ,did covid cost trump his second term
152,Societal Effects ,will covid kill us all
153,Societal Effects ,will we get through covid
154,Societal Effects ,are we all going to die of covid
155,Societal Effects ,what are the new things covid has taught you
156,Societal Effects ,if covid gets out of control in the us is it possible that trump will declare martial law at some point
157,Societal Effects ,has president trump failed america throughout the covid outbreak
158,Societal Effects ,how has the covid affected you
159,Societal Effects ,could covid wipe out the human race
160,Societal Effects ,is this covid the beginning of the end for america as we know it
161,Societal Effects ,what kind of person will you be after the covid pandemic
162,Societal Effects ,what would happen if trump tests positive for covid
163,Societal Effects ,how much of a factor will the covid be in the 2020 presidential election
164,Societal Response ,how can the power of artificial intelligence be utilized in fighting the covid
165,Societal Response ,are you worried about covid
166,Societal Response ,is there any way to de politicize the covid pandemic
